One of them is autoinductor 2 ( AI - 2), furanosyl borate diester, which is synthesized by the luxS product [ 39, 40] of which homologues are present in P. luminescens and Y. enterocolitica ( plu1253, ye0839).	"autoinductor 2	15	29	Chemical"	"AI - 2	32	38	Chemical"	"furanosyl borate diester	41	65	Chemical"	"[{""token"": ""autoinductor 2"", ""start_span"": 15, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""AI - 2"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Chemical""}, {""token"": ""furanosyl borate diester"", ""start_span"": 41, ""end_span"": 65, ""type"": ""Chemical""}]"
The cobalamine - dependent anaerobic growth of Salmonella typhimurium on both these substrates has been shown to be supported by the alternative electron acceptor tetrathionate whose respiration is facilitated by the tetrathionate reductase gene cluster ttr [ 99, 100].	"cobalamine	4	14	Chemical"	"tetrathionate	163	176	Chemical"	"tetrathionate	217	230	Chemical"	"[{""token"": ""cobalamine"", ""start_span"": 4, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""tetrathionate"", ""start_span"": 163, ""end_span"": 176, ""type"": ""Chemical""}, {""token"": ""tetrathionate"", ""start_span"": 217, ""end_span"": 230, ""type"": ""Chemical""}]"
Propanediol degradation by Y. enterocolitica might also be supported by YE4187 with a putative GlcG domain which is predicted to be involved in glycolate and propanediol utilization.	"Propanediol	0	11	Chemical"	"glycolate	144	153	Chemical"	"propanediol	158	169	Chemical"	"[{""token"": ""Propanediol"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""glycolate"", ""start_span"": 144, ""end_span"": 153, ""type"": ""Chemical""}, {""token"": ""propanediol"", ""start_span"": 158, ""end_span"": 169, ""type"": ""Chemical""}]"
The cobalamine synthesis genes and the eutABC operon, but not ttrC, ttrR, ttrS and the propanediol utilization gene cluster, are also present in the genome of P. luminescens, suggesting the degradation of phosphatidylethanolamine as additional energy source in the insect host [ 102].	"cobalamine	4	14	Chemical"	"propanediol	87	98	Chemical"	"phosphatidylethanolamine	205	229	Chemical"	"[{""token"": ""cobalamine"", ""start_span"": 4, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""propanediol"", ""start_span"": 87, ""end_span"": 98, ""type"": ""Chemical""}, {""token"": ""phosphatidylethanolamine"", ""start_span"": 205, ""end_span"": 229, ""type"": ""Chemical""}]"
Further metabolic genes common to both pathogens are dctA responsible for transport of C4 - dicarboxylates across the membrane, the UhpABC regulatory system controlling the hexose phosphate transport by UhpT, and the three Mg2 + transport systems CorA, MgtA and MgtB.	"C4 - dicarboxylates	87	106	Chemical"	"hexose phosphate	173	189	Chemical"	"Mg2 +	223	228	Chemical"	"[{""token"": ""C4 - dicarboxylates"", ""start_span"": 87, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""hexose phosphate"", ""start_span"": 173, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""Mg2 +"", ""start_span"": 223, ""end_span"": 228, ""type"": ""Chemical""}]"
Streptolysin S ( SLS) is an oxygen - stable beta - hemolysin and Streptolysin O ( SLO) is a pore - forming cholesterol - binding toxin [ 16].	"oxygen	28	34	Chemical"	"beta - hemolysin	44	60	Chemical"	"cholesterol	107	118	Chemical"	"[{""token"": ""oxygen"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Chemical""}, {""token"": ""beta - hemolysin"", ""start_span"": 44, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""cholesterol"", ""start_span"": 107, ""end_span"": 118, ""type"": ""Chemical""}]"
Furthermore, DNA - induced expression of this operon resulted in up to 2560 - fold increased resistance to cationic antimicrobial peptides and 640 - fold increased resistance to aminoglycosides, but had no effect on beta - lactam and fluoroquinolone resistance.	"aminoglycosides	178	193	Chemical"	"beta - lactam	216	229	Chemical"	"fluoroquinolone	234	249	Chemical"	"[{""token"": ""aminoglycosides"", ""start_span"": 178, ""end_span"": 193, ""type"": ""Chemical""}, {""token"": ""beta - lactam"", ""start_span"": 216, ""end_span"": 229, ""type"": ""Chemical""}, {""token"": ""fluoroquinolone"", ""start_span"": 234, ""end_span"": 249, ""type"": ""Chemical""}]"
These genes encode an LPS modification pathway required for the addition of aminoarabinose to lipid A, which reduces the OM permeability to CAPs [ 48].	"LPS	22	25	Chemical"	"lipid A	94	101	Chemical"	"CAPs	140	144	Chemical"	"[{""token"": ""LPS"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Chemical""}, {""token"": ""lipid A"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Chemical""}, {""token"": ""CAPs"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Chemical""}]"
The OM of P. aeruginosa contains a 20: 1 ratio of Mg2 +: Ca2 + cations [ 59], which bind to and stabilize LPS in the outer leaflet of the OM [ 58].	"Mg2 +	50	55	Chemical"	"Ca2 +	57	62	Chemical"	"LPS	106	109	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 50, ""end_span"": 55, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Chemical""}]"
In a similar manner, the addition of excess Mg2 +, Ca2 + and Mn2 + restored growth of P. aeruginosa in BM2 media.	"Mg2 +	44	49	Chemical"	"Ca2 +	51	56	Chemical"	"Mn2 +	61	66	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Chemical""}, {""token"": ""Mn2 +"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Chemical""}]"
The increased protection observed following addition of Mg2 + and Ca2 + is likely due to their importance in membrane integrity where they function to stabilize the OM by crosslinking adjacent LPS molecules [ 58].	"Mg2 +	56	61	Chemical"	"Ca2 +	66	71	Chemical"	"LPS	193	196	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 193, ""end_span"": 196, ""type"": ""Chemical""}]"
