Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
Here we report that both the acidic transcription activation domain mapping to the unique C terminus of chicken c - Rel and the F9 cell - specific activation region common to both v - Rel and c - Rel interact with the TATA - binding protein ( TBP) and transcription factor IIB ( TFIIB) in vitro and in vivo.	C terminus,90,100,Gene/Protein	chicken c - Rel,104,119,Gene/Protein	F9 cell - specific activation region,128,164,Gene/Protein	v - Rel,180,187,Gene/Protein	c - Rel,192,199,Gene/Protein	TATA - binding protein,218,240,Gene/Protein	TBP,243,246,Gene/Protein	transcription factor IIB,252,276,Gene/Protein	TFIIB,279,284,Gene/Protein	"[{""token"": ""C terminus"", ""start_span"": 90, ""end_span"": 100, ""type"": ""Gene/Protein""}, {""token"": ""chicken c - Rel"", ""start_span"": 104, ""end_span"": 119, ""type"": ""Gene/Protein""}, {""token"": ""F9 cell - specific activation region"", ""start_span"": 128, ""end_span"": 164, ""type"": ""Gene/Protein""}, {""token"": ""v - Rel"", ""start_span"": 180, ""end_span"": 187, ""type"": ""Gene/Protein""}, {""token"": ""c - Rel"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Gene/Protein""}, {""token"": ""TATA - binding protein"", ""start_span"": 218, ""end_span"": 240, ""type"": ""Gene/Protein""}, {""token"": ""TBP"", ""start_span"": 243, ""end_span"": 246, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor IIB"", ""start_span"": 252, ""end_span"": 276, ""type"": ""Gene/Protein""}, {""token"": ""TFIIB"", ""start_span"": 279, ""end_span"": 284, ""type"": ""Gene/Protein""}]"	test
In addition, integrin ligation leads to nuclear translocation of the p50 and p65 subunits of the NF - kappa B transcription factor, to activation of a reporter gene driven by a promoter containing NF - kappa B sites, and to increased levels of mRNAs for immediate - early genes, including the cytokine interleukin ( IL) - 1 beta.	integrin,13,21,Gene/Protein	p50,69,72,Gene/Protein	p65 subunits,77,89,Gene/Protein	NF - kappa B transcription factor,97,130,Gene/Protein	reporter gene,151,164,Gene/Protein	promoter,177,185,Gene/Protein	NF - kappa B sites,197,215,Gene/Protein	mRNAs,244,249,Gene/Protein	immediate - early genes,254,277,Gene/Protein	"[{""token"": ""integrin"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Gene/Protein""}, {""token"": ""p50"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""p65 subunits"", ""start_span"": 77, ""end_span"": 89, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B transcription factor"", ""start_span"": 97, ""end_span"": 130, ""type"": ""Gene/Protein""}, {""token"": ""reporter gene"", ""start_span"": 151, ""end_span"": 164, ""type"": ""Gene/Protein""}, {""token"": ""promoter"", ""start_span"": 177, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B sites"", ""start_span"": 197, ""end_span"": 215, ""type"": ""Gene/Protein""}, {""token"": ""mRNAs"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Gene/Protein""}, {""token"": ""immediate - early genes"", ""start_span"": 254, ""end_span"": 277, ""type"": ""Gene/Protein""}]"	train
Kinase C mediates its effects via phosphorylation of serum response factor ( SRF) which interacts with the serum response element ( SRE); cAMP and calcium mediate their effects via phosphorylation of CREB ( cAMP regulatory element binding protein) presumably by activation of a protein kinase A or calmodulin - regulated kinase.	Kinase C,0,8,Gene/Protein	serum response factor,53,74,Gene/Protein	SRF,77,80,Gene/Protein	serum response element,107,129,Gene/Protein	SRE,132,135,Gene/Protein	CREB,200,204,Gene/Protein	cAMP regulatory element binding protein,207,246,Gene/Protein	protein kinase A,278,294,Gene/Protein	calmodulin - regulated kinase,298,327,Gene/Protein	"[{""token"": ""Kinase C"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene/Protein""}, {""token"": ""serum response factor"", ""start_span"": 53, ""end_span"": 74, ""type"": ""Gene/Protein""}, {""token"": ""SRF"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Gene/Protein""}, {""token"": ""serum response element"", ""start_span"": 107, ""end_span"": 129, ""type"": ""Gene/Protein""}, {""token"": ""SRE"", ""start_span"": 132, ""end_span"": 135, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 200, ""end_span"": 204, ""type"": ""Gene/Protein""}, {""token"": ""cAMP regulatory element binding protein"", ""start_span"": 207, ""end_span"": 246, ""type"": ""Gene/Protein""}, {""token"": ""protein kinase A"", ""start_span"": 278, ""end_span"": 294, ""type"": ""Gene/Protein""}, {""token"": ""calmodulin - regulated kinase"", ""start_span"": 298, ""end_span"": 327, ""type"": ""Gene/Protein""}]"	train
The interaction of the transcription factors, activator protein - 1 ( AP - 1), nuclear factor kappa B ( NF kappa B), and cAMP - responsive element binding protein ( CREB) with DNA and glucocorticoid receptors ( GR) was analyzed in human peripheral blood mononuclear cells by gel mobility shift assays.	transcription factors,23,44,Gene/Protein	activator protein - 1,46,67,Gene/Protein	AP - 1,70,76,Gene/Protein	nuclear factor kappa B,79,101,Gene/Protein	NF kappa B,104,114,Gene/Protein	cAMP - responsive element binding protein,121,162,Gene/Protein	CREB,165,169,Gene/Protein	glucocorticoid receptors,184,208,Gene/Protein	GR,211,213,Gene/Protein	"[{""token"": ""transcription factors"", ""start_span"": 23, ""end_span"": 44, ""type"": ""Gene/Protein""}, {""token"": ""activator protein - 1"", ""start_span"": 46, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor kappa B"", ""start_span"": 79, ""end_span"": 101, ""type"": ""Gene/Protein""}, {""token"": ""NF kappa B"", ""start_span"": 104, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""cAMP - responsive element binding protein"", ""start_span"": 121, ""end_span"": 162, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 165, ""end_span"": 169, ""type"": ""Gene/Protein""}, {""token"": ""glucocorticoid receptors"", ""start_span"": 184, ""end_span"": 208, ""type"": ""Gene/Protein""}, {""token"": ""GR"", ""start_span"": 211, ""end_span"": 213, ""type"": ""Gene/Protein""}]"	train
Replacement of the NF - kappa B elements in the HIV - 1 LTR by a DNA fragment derived from the 5 ' - flanking region of IFN - stimulated gene 15 ( ISG15), containing the IFN - stimulated response element, partially restored Tat - mediated activation of LTR in T cells as well as in monocytes.	NF - kappa B elements,19,40,Gene/Protein	HIV - 1 LTR,48,59,Gene/Protein	DNA fragment,65,77,Gene/Protein	5 ' - flanking region,95,116,Gene/Protein	IFN - stimulated gene 15,120,144,Gene/Protein	ISG15,147,152,Gene/Protein	IFN - stimulated response element,170,203,Gene/Protein	Tat,224,227,Gene/Protein	LTR,253,256,Gene/Protein	"[{""token"": ""NF - kappa B elements"", ""start_span"": 19, ""end_span"": 40, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 1 LTR"", ""start_span"": 48, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""DNA fragment"", ""start_span"": 65, ""end_span"": 77, ""type"": ""Gene/Protein""}, {""token"": ""5 ' - flanking region"", ""start_span"": 95, ""end_span"": 116, ""type"": ""Gene/Protein""}, {""token"": ""IFN - stimulated gene 15"", ""start_span"": 120, ""end_span"": 144, ""type"": ""Gene/Protein""}, {""token"": ""ISG15"", ""start_span"": 147, ""end_span"": 152, ""type"": ""Gene/Protein""}, {""token"": ""IFN - stimulated response element"", ""start_span"": 170, ""end_span"": 203, ""type"": ""Gene/Protein""}, {""token"": ""Tat"", ""start_span"": 224, ""end_span"": 227, ""type"": ""Gene/Protein""}, {""token"": ""LTR"", ""start_span"": 253, ""end_span"": 256, ""type"": ""Gene/Protein""}]"	train
The germline promoters ( Ko) located upstream of the J region gene segments of the kappa locus also contain an octamer motif ( containing a single base pair mutation and referred to as the variant octamer) which has been shown previously to bind Oct - 1 and Oct - 2 transcription factors in vitro.	germline promoters,4,22,Gene/Protein	Ko,25,27,Gene/Protein	J region gene segments,53,75,Gene/Protein	kappa locus,83,94,Gene/Protein	octamer motif,111,124,Gene/Protein	base pair mutation,147,165,Gene/Protein	Oct - 1,246,253,Gene/Protein	Oct - 2,258,265,Gene/Protein	transcription factors,266,287,Gene/Protein	"[{""token"": ""germline promoters"", ""start_span"": 4, ""end_span"": 22, ""type"": ""Gene/Protein""}, {""token"": ""Ko"", ""start_span"": 25, ""end_span"": 27, ""type"": ""Gene/Protein""}, {""token"": ""J region gene segments"", ""start_span"": 53, ""end_span"": 75, ""type"": ""Gene/Protein""}, {""token"": ""kappa locus"", ""start_span"": 83, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""octamer motif"", ""start_span"": 111, ""end_span"": 124, ""type"": ""Gene/Protein""}, {""token"": ""base pair mutation"", ""start_span"": 147, ""end_span"": 165, ""type"": ""Gene/Protein""}, {""token"": ""Oct - 1"", ""start_span"": 246, ""end_span"": 253, ""type"": ""Gene/Protein""}, {""token"": ""Oct - 2"", ""start_span"": 258, ""end_span"": 265, ""type"": ""Gene/Protein""}, {""token"": ""transcription factors"", ""start_span"": 266, ""end_span"": 287, ""type"": ""Gene/Protein""}]"	train
Although IL - 2 - induced phosphorylation of IL - 2R beta, JAK1, and STAT5 all required the presence of JAK3, IL - 4 - mediated phosphorylation of JAK1, STAT6, and insulin receptor substrates 1 and 2 did not.	IL - 2,9,15,Gene/Protein	IL - 2R beta,45,57,Gene/Protein	JAK1,59,63,Gene/Protein	STAT5,69,74,Gene/Protein	JAK3,104,108,Gene/Protein	IL - 4,110,116,Gene/Protein	JAK1,147,151,Gene/Protein	STAT6,153,158,Gene/Protein	insulin receptor,164,180,Gene/Protein	"[{""token"": ""IL - 2"", ""start_span"": 9, ""end_span"": 15, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2R beta"", ""start_span"": 45, ""end_span"": 57, ""type"": ""Gene/Protein""}, {""token"": ""JAK1"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Gene/Protein""}, {""token"": ""STAT5"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene/Protein""}, {""token"": ""JAK3"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 110, ""end_span"": 116, ""type"": ""Gene/Protein""}, {""token"": ""JAK1"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Gene/Protein""}, {""token"": ""STAT6"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Gene/Protein""}, {""token"": ""insulin receptor"", ""start_span"": 164, ""end_span"": 180, ""type"": ""Gene/Protein""}]"	train
Analysis of the accumulation of mRNA - encoding members of the AP - 1 transcription factor family demonstrated that c - fos and junB are also expressed upon stimulation of NK and T cells with IL - 2, but not IL - 12, whereas expression of c - jun and junD is not modified by either cytokine.	mRNA - encoding members,32,55,Gene/Protein	AP - 1 transcription factor family,63,97,Gene/Protein	c - fos,116,123,Gene/Protein	junB,128,132,Gene/Protein	IL - 2,192,198,Gene/Protein	IL - 12,208,215,Gene/Protein	c - jun,239,246,Gene/Protein	junD,251,255,Gene/Protein	cytokine,282,290,Gene/Protein	"[{""token"": ""mRNA - encoding members"", ""start_span"": 32, ""end_span"": 55, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1 transcription factor family"", ""start_span"": 63, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""c - fos"", ""start_span"": 116, ""end_span"": 123, ""type"": ""Gene/Protein""}, {""token"": ""junB"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 192, ""end_span"": 198, ""type"": ""Gene/Protein""}, {""token"": ""IL - 12"", ""start_span"": 208, ""end_span"": 215, ""type"": ""Gene/Protein""}, {""token"": ""c - jun"", ""start_span"": 239, ""end_span"": 246, ""type"": ""Gene/Protein""}, {""token"": ""junD"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Gene/Protein""}, {""token"": ""cytokine"", ""start_span"": 282, ""end_span"": 290, ""type"": ""Gene/Protein""}]"	train
Newly translated STAT1 binds in equilibrium fashion to STAT2 and STAT3, but we show that STAT2 and STAT3 exist in separate heterocomplexes with STAT1, consistent with a model in which STAT1 contains a common binding site for other STAT proteins.	STAT1,17,22,Gene/Protein	STAT2,55,60,Gene/Protein	STAT3,65,70,Gene/Protein	STAT2,89,94,Gene/Protein	STAT3,99,104,Gene/Protein	heterocomplexes,123,138,Gene/Protein	STAT1,144,149,Gene/Protein	STAT1,184,189,Gene/Protein	STAT proteins,231,244,Gene/Protein	"[{""token"": ""STAT1"", ""start_span"": 17, ""end_span"": 22, ""type"": ""Gene/Protein""}, {""token"": ""STAT2"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Gene/Protein""}, {""token"": ""STAT2"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 99, ""end_span"": 104, ""type"": ""Gene/Protein""}, {""token"": ""heterocomplexes"", ""start_span"": 123, ""end_span"": 138, ""type"": ""Gene/Protein""}, {""token"": ""STAT1"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Gene/Protein""}, {""token"": ""STAT1"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Gene/Protein""}, {""token"": ""STAT proteins"", ""start_span"": 231, ""end_span"": 244, ""type"": ""Gene/Protein""}]"	train
Selective phosphatase inhibitors for protein phosphatase 1 ( PP1) and 2A ( PP2A) that do not inhibit calcineurin, such as okadaic acid and calyculin A, also inhibited NFAT activation with IC50s of 87 nM and 4 nM, respectively, suggesting that okadaic acid and related inhibitors may block NFAT activation through the inhibition of PP1, instead of PP2A.	protein phosphatase 1,37,58,Gene/Protein	PP1,61,64,Gene/Protein	2A,70,72,Gene/Protein	PP2A,75,79,Gene/Protein	calcineurin,101,112,Gene/Protein	NFAT,167,171,Gene/Protein	NFAT,289,293,Gene/Protein	PP1,331,334,Gene/Protein	PP2A,347,351,Gene/Protein	"[{""token"": ""protein phosphatase 1"", ""start_span"": 37, ""end_span"": 58, ""type"": ""Gene/Protein""}, {""token"": ""PP1"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene/Protein""}, {""token"": ""2A"", ""start_span"": 70, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""PP2A"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene/Protein""}, {""token"": ""calcineurin"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Gene/Protein""}, {""token"": ""NFAT"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Gene/Protein""}, {""token"": ""NFAT"", ""start_span"": 289, ""end_span"": 293, ""type"": ""Gene/Protein""}, {""token"": ""PP1"", ""start_span"": 331, ""end_span"": 334, ""type"": ""Gene/Protein""}, {""token"": ""PP2A"", ""start_span"": 347, ""end_span"": 351, ""type"": ""Gene/Protein""}]"	train
Pretreatment of monocytes with IFN - beta or IFN - gamma, but not IL - 1, IL - 2, macrophage colony - stimulating factor, granulocyte / macrophage colony - stimulating factor, IL - 6, or transforming growth factor beta suppressed activation of STAT6 by IL - 4.	IFN - beta,31,41,Gene/Protein	IFN - gamma,45,56,Gene/Protein	IL - 1,66,72,Gene/Protein	IL - 2,74,80,Gene/Protein	macrophage colony - stimulating factor,82,120,Gene/Protein	granulocyte / macrophage colony - stimulating factor,122,174,Gene/Protein	IL - 6,176,182,Gene/Protein	STAT6,244,249,Gene/Protein	IL - 4,253,259,Gene/Protein	"[{""token"": ""IFN - beta"", ""start_span"": 31, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1"", ""start_span"": 66, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 74, ""end_span"": 80, ""type"": ""Gene/Protein""}, {""token"": ""macrophage colony - stimulating factor"", ""start_span"": 82, ""end_span"": 120, ""type"": ""Gene/Protein""}, {""token"": ""granulocyte / macrophage colony - stimulating factor"", ""start_span"": 122, ""end_span"": 174, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 176, ""end_span"": 182, ""type"": ""Gene/Protein""}, {""token"": ""STAT6"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 253, ""end_span"": 259, ""type"": ""Gene/Protein""}]"	train
Domain E, considered as the putative hormone binding domain ( HBD) of the human mineralocorticoid receptor ( hMR) was expressed in Escherichia coli as a fusion protein with either maltose binding protein ( MBP) or glutathione S - transferase ( GST).	Domain E,0,8,Gene/Protein	putative hormone binding domain,28,59,Gene/Protein	HBD,62,65,Gene/Protein	human mineralocorticoid receptor,74,106,Gene/Protein	hMR,109,112,Gene/Protein	maltose binding protein,180,203,Gene/Protein	MBP,206,209,Gene/Protein	glutathione S - transferase,214,241,Gene/Protein	GST,244,247,Gene/Protein	"[{""token"": ""Domain E"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene/Protein""}, {""token"": ""putative hormone binding domain"", ""start_span"": 28, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""HBD"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Gene/Protein""}, {""token"": ""human mineralocorticoid receptor"", ""start_span"": 74, ""end_span"": 106, ""type"": ""Gene/Protein""}, {""token"": ""hMR"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Gene/Protein""}, {""token"": ""maltose binding protein"", ""start_span"": 180, ""end_span"": 203, ""type"": ""Gene/Protein""}, {""token"": ""MBP"", ""start_span"": 206, ""end_span"": 209, ""type"": ""Gene/Protein""}, {""token"": ""glutathione S - transferase"", ""start_span"": 214, ""end_span"": 241, ""type"": ""Gene/Protein""}, {""token"": ""GST"", ""start_span"": 244, ""end_span"": 247, ""type"": ""Gene/Protein""}]"	train
The influence on interleukin ( IL) - 2, IL - 4 and interferon ( IFN) - gamma production; IL - 2 receptor ( IL - 2R) alpha -, beta -, and gamma - chain; and the signaling pathway molecules Janus kinase ( Jak) 1, Jak3, signal transducers and activators of transcription ( Stat) 1, Stat3, and Stat5 should be investigated.	IL - 4,40,46,Gene/Protein	beta,125,129,Gene/Protein	gamma - chain,137,150,Gene/Protein	signaling pathway molecules,160,187,Gene/Protein	Janus kinase,188,200,Gene/Protein	Jak3,211,215,Gene/Protein	activators of transcription,240,267,Gene/Protein	Stat3,279,284,Gene/Protein	Stat5,290,295,Gene/Protein	"[{""token"": ""IL - 4"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Gene/Protein""}, {""token"": ""beta"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Gene/Protein""}, {""token"": ""gamma - chain"", ""start_span"": 137, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""signaling pathway molecules"", ""start_span"": 160, ""end_span"": 187, ""type"": ""Gene/Protein""}, {""token"": ""Janus kinase"", ""start_span"": 188, ""end_span"": 200, ""type"": ""Gene/Protein""}, {""token"": ""Jak3"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Gene/Protein""}, {""token"": ""activators of transcription"", ""start_span"": 240, ""end_span"": 267, ""type"": ""Gene/Protein""}, {""token"": ""Stat3"", ""start_span"": 279, ""end_span"": 284, ""type"": ""Gene/Protein""}, {""token"": ""Stat5"", ""start_span"": 290, ""end_span"": 295, ""type"": ""Gene/Protein""}]"	train
An electrophoretic mobility shift assay employing AP - 1 and NF - kappaB consensus oligonucleotides was used to demonstrate that AP - 1 - binding activity increased, while constitutive NF - kappaB - binding activity was not enhanced, following 2 h of CD19 cross - linking in 1E8 cells. Supershift experiments revealed that JunD and c - Fos proteins mediated anti - CD19 induced AP - 1 - binding activity in 1E8 cells.	AP - 1,50,56,Gene/Protein	NF - kappaB,61,72,Gene/Protein	AP - 1,129,135,Gene/Protein	NF - kappaB,185,196,Gene/Protein	CD19,251,255,Gene/Protein	JunD,323,327,Gene/Protein	c - Fos proteins,332,348,Gene/Protein	CD19,365,369,Gene/Protein	AP - 1,378,384,Gene/Protein	"[{""token"": ""AP - 1"", ""start_span"": 50, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 61, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 129, ""end_span"": 135, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 185, ""end_span"": 196, ""type"": ""Gene/Protein""}, {""token"": ""CD19"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Gene/Protein""}, {""token"": ""JunD"", ""start_span"": 323, ""end_span"": 327, ""type"": ""Gene/Protein""}, {""token"": ""c - Fos proteins"", ""start_span"": 332, ""end_span"": 348, ""type"": ""Gene/Protein""}, {""token"": ""CD19"", ""start_span"": 365, ""end_span"": 369, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 378, ""end_span"": 384, ""type"": ""Gene/Protein""}]"	train
In the case of IgE class switching, IL - 4 activates the IgE germline promoter by inducing the interaction of the transcription factor STAT6 ( IL - 4STAT) with a responsive DNA element in the proximal region of the promoter.	IgE,15,18,Gene/Protein	IL - 4,36,42,Gene/Protein	IgE germline promoter,57,78,Gene/Protein	transcription factor,114,134,Gene/Protein	STAT6,135,140,Gene/Protein	IL - 4STAT,143,153,Gene/Protein	responsive DNA element,162,184,Gene/Protein	proximal region,192,207,Gene/Protein	promoter,215,223,Gene/Protein	"[{""token"": ""IgE"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 36, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""IgE germline promoter"", ""start_span"": 57, ""end_span"": 78, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor"", ""start_span"": 114, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""STAT6"", ""start_span"": 135, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4STAT"", ""start_span"": 143, ""end_span"": 153, ""type"": ""Gene/Protein""}, {""token"": ""responsive DNA element"", ""start_span"": 162, ""end_span"": 184, ""type"": ""Gene/Protein""}, {""token"": ""proximal region"", ""start_span"": 192, ""end_span"": 207, ""type"": ""Gene/Protein""}, {""token"": ""promoter"", ""start_span"": 215, ""end_span"": 223, ""type"": ""Gene/Protein""}]"	train
Immunological studies in human immunodeficiency virus ( HIV) - positive patients suggest that the disease progression is accompanied by a defective production of type 1 cytokines ( interleukin - 2 ( IL - 2) and IL - 12], an increased production of type 2 cytokines ( IL - 4, IL - 6, and IL - 10), and an increased production of IgE.	1 cytokines,167,178,Gene/Protein	interleukin - 2,181,196,Gene/Protein	IL - 2,199,205,Gene/Protein	IL - 12,211,218,Gene/Protein	type 2 cytokines,248,264,Gene/Protein	IL - 4,267,273,Gene/Protein	IL - 6,275,281,Gene/Protein	IL - 10,287,294,Gene/Protein	IgE,328,331,Gene/Protein	"[{""token"": ""1 cytokines"", ""start_span"": 167, ""end_span"": 178, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 2"", ""start_span"": 181, ""end_span"": 196, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 199, ""end_span"": 205, ""type"": ""Gene/Protein""}, {""token"": ""IL - 12"", ""start_span"": 211, ""end_span"": 218, ""type"": ""Gene/Protein""}, {""token"": ""type 2 cytokines"", ""start_span"": 248, ""end_span"": 264, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 267, ""end_span"": 273, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 275, ""end_span"": 281, ""type"": ""Gene/Protein""}, {""token"": ""IL - 10"", ""start_span"": 287, ""end_span"": 294, ""type"": ""Gene/Protein""}, {""token"": ""IgE"", ""start_span"": 328, ""end_span"": 331, ""type"": ""Gene/Protein""}]"	train
T - cell receptor ( TCR) / CD3 engagement results in the activation of nuclear factor of activated T cells ( NFAT), activator protein - 1 ( AP - 1), and nuclear factor kappaB ( NFkappaB), whereas the CD28 responsive complex ( CD28RC) is activated in response to the CD28 signal.	T - cell receptor,0,17,Gene/Protein	NFAT,109,113,Gene/Protein	activator protein - 1,116,137,Gene/Protein	AP - 1,140,146,Gene/Protein	nuclear factor kappaB,153,174,Gene/Protein	NFkappaB,177,185,Gene/Protein	CD28 responsive complex,200,223,Gene/Protein	CD28RC,226,232,Gene/Protein	CD28,266,270,Gene/Protein	"[{""token"": ""T - cell receptor"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Gene/Protein""}, {""token"": ""NFAT"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""activator protein - 1"", ""start_span"": 116, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 140, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor kappaB"", ""start_span"": 153, ""end_span"": 174, ""type"": ""Gene/Protein""}, {""token"": ""NFkappaB"", ""start_span"": 177, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""CD28 responsive complex"", ""start_span"": 200, ""end_span"": 223, ""type"": ""Gene/Protein""}, {""token"": ""CD28RC"", ""start_span"": 226, ""end_span"": 232, ""type"": ""Gene/Protein""}, {""token"": ""CD28"", ""start_span"": 266, ""end_span"": 270, ""type"": ""Gene/Protein""}]"	train
Cytokine - stimulated cell surface expression of vascular cell adhesion molecule - 1 ( VCAM - 1, CD106) and E - selectin ( ELAM - 1, CD62E), but not of intercellular adhesion molecule - 1 ( ICAM - 1, CD54), was time - and dose - dependently inhibited by TCP succinate but not by TCP or TCP acetate.	vascular cell adhesion molecule - 1,49,84,Gene/Protein	VCAM - 1,87,95,Gene/Protein	CD106,97,102,Gene/Protein	E - selectin,108,120,Gene/Protein	ELAM - 1,123,131,Gene/Protein	CD62E,133,138,Gene/Protein	intercellular adhesion molecule - 1,152,187,Gene/Protein	ICAM - 1,190,198,Gene/Protein	CD54,200,204,Gene/Protein	"[{""token"": ""vascular cell adhesion molecule - 1"", ""start_span"": 49, ""end_span"": 84, ""type"": ""Gene/Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Gene/Protein""}, {""token"": ""CD106"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Gene/Protein""}, {""token"": ""E - selectin"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Gene/Protein""}, {""token"": ""ELAM - 1"", ""start_span"": 123, ""end_span"": 131, ""type"": ""Gene/Protein""}, {""token"": ""CD62E"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Gene/Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 152, ""end_span"": 187, ""type"": ""Gene/Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 190, ""end_span"": 198, ""type"": ""Gene/Protein""}, {""token"": ""CD54"", ""start_span"": 200, ""end_span"": 204, ""type"": ""Gene/Protein""}]"	train
